Instancia,Solucao Guloso,Solucao Ref,Desvio %,Rotas
mggdb_0.45_15,55.0,34.0,61.76,4
mggdb_0.45_16,85.0,70.0,21.43,7
mggdb_0.45_17,114.0,53.0,115.09,4
mggdb_0.45_18,233.0,123.0,89.43,6
mggdb_0.45_19,22.0,48.0,-54.17,1
mggdb_0.45_2,52.0,298.0,-82.55,2
mggdb_0.45_20,136.0,78.0,74.36,7
mggdb_0.45_21,191.0,122.0,56.56,11
mggdb_0.45_22,280.0,136.0,105.88,8
mggdb_0.45_23,325.0,144.0,125.69,11
mggdb_0.45_3,64.0,237.0,-73.0,3
mggdb_0.45_4,73.0,228.0,-67.98,3
mggdb_0.45_5,142.0,350.0,-59.43,4
mggdb_0.45_6,250.0,218.0,14.68,6
mggdb_0.45_7,225.0,243.0,-7.41,6
mggdb_0.45_8,117.0,296.0,-60.47,4
mggdb_0.45_9,103.0,277.0,-62.82,4
mggdb_0.50_1,104.0,214.0,-51.4,2
mggdb_0.50_10,38.0,194.0,-80.41,2
mggdb_0.50_11,30.0,275.0,-89.09,1
mggdb_0.50_12,10.0,445.0,-97.75,1
mggdb_0.50_13,454.0,242.0,87.6,8
mggdb_0.50_14,62.0,75.0,-17.33,3
mggdb_0.50_15,33.0,37.0,-10.81,2
mggdb_0.50_16,100.0,66.0,51.52,6
mggdb_0.50_17,68.0,53.0,28.3,2
mggdb_0.50_18,173.0,121.0,42.98,7
mggdb_0.50_19,23.0,44.0,-47.73,2
mggdb_0.50_2,157.0,269.0,-41.64,5
mggdb_0.50_20,42.0,77.0,-45.45,3
mggdb_0.50_21,160.0,84.0,90.48,8
mggdb_0.50_22,286.0,123.0,132.52,10
mggdb_0.50_23,272.0,124.0,119.35,14
mggdb_0.50_3,152.0,218.0,-30.28,2
mggdb_0.50_4,139.0,219.0,-36.53,3
mggdb_0.50_5,112.0,292.0,-61.64,1
mggdb_0.50_6,19.0,276.0,-93.12,1
mggdb_0.50_7,81.0,265.0,-69.43,2
mggdb_0.50_8,21.0,310.0,-93.23,1
mggdb_0.50_9,19.0,265.0,-92.83,2
mgval_0.25_10A,938.0,492.0,90.65,3
mgval_0.25_10B,919.0,528.0,74.05,9
mgval_0.25_10C,914.0,483.0,89.23,5
mgval_0.25_10D,987.0,567.0,74.07,10
mgval_0.25_1A,328.0,177.0,85.31,2
mgval_0.25_1B,250.0,217.0,15.21,4
mgval_0.25_1C,337.0,283.0,19.08,10
mgval_0.25_2A,0.0,259.0,-100.0,0
mgval_0.25_2B,370.0,336.0,10.12,3
mgval_0.25_2C,426.0,480.0,-11.25,7
mgval_0.25_3A,126.0,89.0,41.57,2
mgval_0.25_3B,0.0,125.0,-100.0,0
mgval_0.25_3C,3.0,153.0,-98.04,1
mgval_0.25_4A,23.0,514.0,-95.53,1
mgval_0.25_4B,812.0,537.0,51.21,4
mgval_0.25_4C,135.0,525.0,-74.29,2
mgval_0.25_4D,1053.0,675.0,56.0,10
mgval_0.25_5A,934.0,485.0,92.58,3
mgval_0.25_5B,798.0,493.0,61.87,4
mgval_0.25_5C,781.0,584.0,33.73,7
mgval_0.25_5D,893.0,644.0,38.66,9
mgval_0.25_6A,467.0,274.0,70.44,4
mgval_0.25_6B,397.0,263.0,50.95,3
mgval_0.25_6C,631.0,324.0,94.75,9
mgval_0.25_7A,532.0,297.0,79.12,4
mgval_0.25_7B,581.0,355.0,63.66,5
mgval_0.25_7C,539.0,378.0,42.59,8
mgval_0.25_8A,905.0,510.0,77.45,3
mgval_0.25_8B,760.0,423.0,79.67,5
mgval_0.25_8C,813.0,545.0,49.17,9
mgval_0.25_9A,669.0,371.0,80.32,4
mgval_0.25_9B,708.0,358.0,97.77,8
mgval_0.25_9C,671.0,364.0,84.34,6
mgval_0.25_9D,807.0,428.0,88.55,10
mgval_0.30_10A,1040.0,484.0,114.88,6
mgval_0.30_10B,899.0,441.0,103.85,4
mgval_0.30_10C,1024.0,475.0,115.58,5
